Slot;LoadPort;DischPort;ContId;Overstow;OverstowPOD;PotentialRestow;PotentialRestowPOD;PotentialRestowImpact;NonReeferAtReefer
860472;CNYTN;FRLEH;TCNU6383854;;;;;;X
050984;CNYTN;FRLEH;EGHU3524909;X;DEHAM;;;;
620086;CNYTN;FRLEH;EISU8477849;X;DEHAM;;;;
020980;CNYTN;FRLEH;EMCU9775594;X;SGSIN;;;;
421278;CNYTN;FRLEH;FCIU9458988;X;SGSIN;;;;
661078;CNYTN;FRLEH;EMCU8677438;X;NLRTM;;;;
621486;CNYTN;FRLEH;DRYU9683343;X;DEHAM;;;;
661076;CNYTN;FRLEH;TGBU7021504;X;NLRTM;;;;X
580580;CNYTN;FRLEH;EITU1706382;X;SGSIN;;;;
171282;CNYTN;FRLEH;EISU2159028;X;NLRTM;;;;
701586;CNYTN;FRLEH;EMCU1780700;X;DEHAM;;;;
700086;CNYTN;FRLEH;TCKU6489332;X;DEHAM;;;;
780176;CNYTN;FRLEH;EITU1795224;;;;;;X
191274;CNYTN;FRLEH;EGSU3366366;X;NLRTM;;;;X
622084;CNYTN;FRLEH;EGSU1257849;X;DEHAM;;;;
050484;CNYTN;FRLEH;EITU0021619;X;NLRTM;;;;
541486;CNYTN;FRLEH;EGHU9757580;X;MAPTM;;;;
780074;CNYTN;FRLEH;EGSU9210046;;;;;;X
541584;CNYTN;FRLEH;EMCU1727748;X;MAPTM;;;;
171274;CNYTN;FRLEH;EITU0595129;X;NLRTM;;;;
300578;CNYTN;FRLEH;FFAU2146065;X;MAPTM;;;;
700286;CNYTN;FRLEH;EITU9292817;X;DEHAM;;;;
421372;CNYTN;FRLEH;TLLU5907665;X;SGSIN;;;;X
541686;CNYTN;FRLEH;EGHU9716302;X;MAPTM;;;;
540582;CNYTN;FRLEH;EMCU8376964;X;PLGDN;;;;
130382;CNYTN;FRLEH;TEMU4133898;X;PLGDN;;;;
780076;CNYTN;FRLEH;EMCU8799380;;;;;;X
820578;CNYTN;NLRTM;EITU1308630;X;SGSIN;;;;
171286;CNYTN;FRLEH;EGHU3379971;X;NLRTM;;;;
150386;CNYTN;FRLEH;TRHU3702458;X;PLGDN;;;;
300584;CNYTN;FRLEH;TGBU6580220;X;MAPTM;;;;
820382;CNYTN;FRLEH;DRYU9569768;X;SGSIN;;;;
540374;CNYTN;FRLEH;TRHU7132456;;;;;;X
070078;CNYTN;FRLEH;LYGU1633599;X;DEHAM;;;;
271278;CNYTN;FRLEH;EITU3101831;X;NLRTM;;;;
020878;CNYTN;FRLEH;EMCU9908300;X;SGSIN;;;;
540686;CNYTN;FRLEH;EGSU8003430;X;NLRTM;;;;
540074;CNYTN;FRLEH;GAOU6674860;;;;;;X
060584;CNYTN;FRLEH;IMTU1006165;X;DEHAM;;;;
421572;CNYTN;FRLEH;GAOU7241438;X;SGSIN;;;;X
310378;CNYTN;FRLEH;DRYU2761315;X;PLGDN;;;;
020576;CNYTN;FRLEH;DRYU9452508;X;SGSIN;;;;
020976;CNYTN;FRLEH;EGSU1255506;X;SGSIN;;;;
701486;CNYTN;FRLEH;GAOU7245768;X;DEHAM;;;;
020372;CNYTN;FRLEH;TRHU6333570;X;SGSIN;;;;
661276;CNYTN;FRLEH;TGBU4021007;X;NLRTM;;;;X
020678;CNYTN;FRLEH;EMCU9932081;X;SGSIN;;;;
150584;CNYTN;FRLEH;TRHU2842265;X;PLGDN;;;;
070082;CNYTN;FRLEH;EITU0350390;X;DEHAM;;;;
621686;CNYTN;FRLEH;TRHU4423041;X;DEHAM;;;;
191282;CNYTN;FRLEH;EGSU3394835;X;NLRTM;;;;
901782;CNYTN;FRLEH;MAGU5396100;X;MAPTM;;;;
171078;CNYTN;FRLEH;EGHU3805399;X;DEHAM;;;;
421874;CNYTN;FRLEH;GAOU7245813;X;SGSIN;;;;X
191280;CNNGB;FRLEH;LYGU1639262;X;NLRTM;;;;
020972;CNNGB;FRLEH;CAAU5414548;X;SGSIN;;;;
580784;CNSHA;FRLEH;EMCU8077393;X;SGSIN;;;;
580782;CNSHA;FRLEH;BSIU5007284;X;SGSIN;;;;
540778;CNNGB;FRLEH;TRHU8294868;X;PLGDN;;;;
020380;CNNGB;FRLEH;EITU1079277;X;SGSIN;;;;
540580;CNNGB;FRLEH;DRYU9791501;X;PLGDN;;;;
290086;CNNGB;FRLEH;DRYU2551622;X;DEHAM;;;;
421474;CNNGB;FRLEH;TRHU7568985;X;SGSIN;;;;X
580780;CNSHA;FRLEH;EMCU8085697;X;SGSIN;;;;
421176;CNNGB;FRLEH;OOCU8525887;X;SGSIN;;;;X
101276;CNNGB;SGSIN;SEGU4943125;;;;;;X
101274;CNNGB;SGSIN;CSNU7504235;;;;;;X
111672;CNSHA;FRLEH;OOLU2062483;X;DEHAM;;;;
100676;CNNGB;SGSIN;TIIU5725397;;;;;;X
101076;CNNGB;SGSIN;OOCU8809749;;;;;;X
050284;CNYTN;FRLEH;OOLU1781374;X;PLGDN;;;;
820374;CNYTN;NLRTM;TGBU4951195;X;SGSIN;;;;X
580074;CNYTN;SGSIN;OOCU8778226;;;;;;X
820182;CNYTN;FRLEH;TGHU6989273;X;SGSIN;;;;
460774;CNYTN;DEHAM;OOCU8960626;;;;;;X
310382;CNYTN;FRLEH;OOLU0476376;X;PLGDN;;;;
701386;CNYTN;FRLEH;OOCU7987068;X;DEHAM;;;;
460772;CNYTN;DEHAM;FSCU8788536;;;;;;X
581374;CNYTN;DEHAM;OOCU7430690;;;;;;X
271280;CNYTN;FRLEH;TRHU2690455;X;NLRTM;;;;
111772;CNYTN;DEHAM;OOLU1892444;;;;;;X
580172;CNYTN;SGSIN;FFAU2769717;;;;;;X
220176;CNYTN;DEHAM;OOCU8508560;;;;;;X
191076;CNYTN;FRLEH;TLLU1242495;X;NLRTM;;;;X
220076;CNYTN;DEHAM;TEMU6038610;;;;;;X
540578;CNYTN;FRLEH;FFAU3357530;X;PLGDN;;;;
581176;CNYTN;DEHAM;TRHU6387030;;;;;;X
580374;CNYTN;SGSIN;CSNU6680245;;;;;;X
580174;CNYTN;SGSIN;CSNU8513519;;;;;;X
661782;CNYTN;FRLEH;TCNU3996657;X;NLRTM;;;;
820172;CNYTN;NLRTM;OOLU6933865;X;SGSIN;;;;X
191080;CNYTN;FRLEH;SLSU2120834;X;NLRTM;;;;
421574;CNYTN;FRLEH;FFAU3549580;X;SGSIN;;;;X
580576;CNYTN;SGSIN;OOCU8733181;;;;;;X
540172;CNYTN;FRLEH;OOCU8205939;;;;;;X
860474;CNYTN;FRLEH;SEKU4023651;;;;;;X
171278;CNYTN;FRLEH;CSNU1549715;X;NLRTM;;;;
111774;CNYTN;DEHAM;CBHU4347941;;;;;;X
540076;CNYTN;FRLEH;TGBU7771010;;;;;;X
820572;CNYTN;NLRTM;OOCU7856772;X;SGSIN;;;;X
070382;CNYTN;FRLEH;TEMU3575719;X;DEHAM;;;;
780374;CNYTN;FRLEH;CCLU5226883;;;;;;X
020676;CNYTN;FRLEH;BMOU4943030;X;SGSIN;;;;
421576;CNYTN;SGSIN;FFAU3126309;;;;;;X
341674;CNYTN;DEHAM;OOCU7067136;;;;;;X
290182;CNYTN;FRLEH;CSNU1824870;X;PLGDN;;;;
820772;CNYTN;NLRTM;TEMU8436104;X;SGSIN;;;;X
700186;CNYTN;FRLEH;FFAU2711103;X;DEHAM;;;;
580376;CNYTN;SGSIN;OOCU8420572;;;;;;X
580076;CNYTN;SGSIN;FFAU3248842;;;;;;X
180474;CNYTN;SGSIN;CCLU7626472;;;;;;X
100274;CNYTN;SGSIN;CBHU9470250;;;;;;X
540376;CNYTN;FRLEH;OOCU6992141;;;;;;X
100276;CNYTN;SGSIN;TXGU7840177;;;;;;X
341774;CNYTN;DEHAM;OOCU7768706;;;;;;X
580774;CNYTN;SGSIN;CSNU7783150;;;;;;X
421072;CNYTN;NLRTM;FSCU5354921;;;X;MAPTM;20;
300284;CNYTN;FRLEH;OOCU9089176;X;NLRTM;;;;
290180;CNYTN;FRLEH;CSLU1742497;X;PLGDN;;;;
820774;CNYTN;NLRTM;OOCU7149194;X;SGSIN;;;;X
421174;CNYTN;SGSIN;OOCU8579327;;;;;;X
820778;CNYTN;NLRTM;CSNU6697736;X;SGSIN;;;;
700386;CNYTN;FRLEH;OOCU8236903;X;DEHAM;;;;
620684;CNYTN;FRLEH;OOCU8624107;X;DEHAM;;;;
742084;CNYTN;DEHAM;BMOU5600864;X;SGSIN;;;;
130676;CNYTN;FRLEH;OOLU0229360;X;NLRTM;;;;
740784;CNYTN;DEHAM;MAGU5645877;X;SGSIN;;;;
191286;CNYTN;FRLEH;DFSU2331362;X;NLRTM;;;;
341382;CNYTN;FRLEH;TCNU7153579;X;DEHAM;;;;
580574;CNYTN;SGSIN;OOLU8916276;;;;;;X
581872;CNYTN;SGSIN;OOCU8860930;;;;;;X
130678;CNYTN;FRLEH;BEAU2244045;X;NLRTM;;;;
820372;CNYTN;NLRTM;CSNU7292434;X;SGSIN;;;;X
300580;CNYTN;FRLEH;TGBU8747847;X;MAPTM;;;;
540718;CNYTN;FRLEH;CSNU6712810;X;PLGDN;;;;
820574;CNYTN;NLRTM;TRHU5962120;X;SGSIN;;;;X
540576;CNYTN;FRLEH;UETU5179760;X;PLGDN;;;;X
070378;CNYTN;FRLEH;OOLU1826669;X;DEHAM;;;;
581472;CNYTN;SGSIN;OOCU7066232;;;;;;X
011272;CNSHA;NLRTM;VERU4402257;;;X;SGSIN;12;
011274;CNSHA;NLRTM;DBOU2249226;;;X;SGSIN;10;
020072;CNSHA;MAPTM;CMAU9744667;X;PLGDN;;;;
020074;CNNGB;MAPTM;CMAU5520648;X;PLGDN;;;;
020076;CNSHA;MAPTM;TGBU4832750;X;PLGDN;;;;
020078;CNSHA;MAPTM;CMAU4206587;X;PLGDN;;;;
020172;CNSHA;MAPTM;CMAU9762439;X;PLGDN;;;;
020174;CNSHA;MAPTM;TLLU7930263;X;PLGDN;;;;
020176;CNNGB;MAPTM;TLLU7972309;X;PLGDN;;;;
020178;CNSHA;MAPTM;SEGU4126573;X;PLGDN;;;;
020272;CNSHA;MAPTM;CMAU9738181;X;DEHAM;;;;
020274;CNSHA;MAPTM;CAIU8910539;X;DEHAM;;;;
020276;CNNGB;MAPTM;CAIU8405877;X;DEHAM;;;;
020278;CNSHA;MAPTM;TCNU6551900;X;DEHAM;;;;
020020;CNSHA;MAPTM;ECMU6645771;X;PLGDN;X;SGSIN;44;
032072;CNSHA;NLRTM;TEMU4357671;;;X;DEHAM;6;
030218;CNSHA;DEHAM;SEGU7328006;;;X;SGSIN;46;
050072;CNSHA;MAPTM;IPXU3881781;X;DEHAM;;;;
050074;CNSHA;MAPTM;CMAU1621645;X;DEHAM;;;;
050076;CNSHA;MAPTM;PRSU1576432;X;DEHAM;;;;
050078;CNSHA;MAPTM;CMAU2734311;X;DEHAM;;;;
050172;CNSHA;FRLEH;TABU2250022;X;DEHAM;;;;
050174;CNSHA;FRLEH;DFJU0250440;X;DEHAM;;;;
050176;CNSHA;FRLEH;OOCU0355573;X;DEHAM;;;;
050178;CNSHA;FRLEH;EURU1541329;X;DEHAM;;;;
050180;CNSHA;FRLEH;EURU1940885;X;DEHAM;;;;
050182;CNSHA;FRLEH;CMAU2688279;X;DEHAM;;;;
050184;CNSHA;FRLEH;CMAU3201385;X;DEHAM;;;;
050478;CNNGB;FRLEH;DRYU2684327;X;NLRTM;;;;
050480;CNNGB;FRLEH;TCLU3670010;X;NLRTM;;;;
050482;CNNGB;FRLEH;TCKU1170701;X;NLRTM;;;;
050772;CNSHA;FRLEH;HGTU9613686;X;DEHAM;;;;
050774;CNSHA;FRLEH;FYCU7104396;X;DEHAM;;;;
050776;CNSHA;FRLEH;WNGU2372499;X;DEHAM;;;;
050778;CNSHA;FRLEH;CSLU1350304;X;DEHAM;;;;
050780;CNSHA;FRLEH;TEMU3453881;X;DEHAM;;;;
070072;CNSHA;MAPTM;CMAU0364671;X;DEHAM;;;;X
070074;CNSHA;MAPTM;TCKU3640065;X;DEHAM;;;;X
070076;CNSHA;MAPTM;TLLU2790889;X;DEHAM;;;;
070172;CNSHA;FRLEH;UTCU4146133;X;DEHAM;;;;X
070174;CNSHA;FRLEH;SNTU7700410;X;DEHAM;;;;X
070176;CNSHA;FRLEH;BMOU1624913;X;DEHAM;;;;
070178;CNSHA;FRLEH;OOLU0918009;X;DEHAM;;;;
070180;CNSHA;FRLEH;BSIU2434512;X;DEHAM;;;;
070182;CNSHA;FRLEH;TTNU1173082;X;DEHAM;;;;
070184;CNSHA;FRLEH;DRYU2972010;X;DEHAM;;;;
070272;CNNGB;NLRTM;SLZU2522690;;;;;;X
070274;CNNGB;NLRTM;DHDU2355550;;;;;;X
070472;CNNGB;NLRTM;EXFU6665343;;;;;;X
070474;CNNGB;NLRTM;EXFU6665934;;;;;;X
070672;CNNGB;NLRTM;EXFU6675953;;;;;;X
070674;CNNGB;NLRTM;EXFU6676672;;;;;;X
070772;CNSHA;FRLEH;CMAU2310587;X;DEHAM;;;;X
070774;CNSHA;FRLEH;EITU3054811;X;DEHAM;;;;X
070776;CNSHA;FRLEH;FYCU7104014;X;DEHAM;;;;
070778;CNSHA;FRLEH;EGHU3321476;X;DEHAM;;;;
070872;CNNGB;NLRTM;FLNU6808634;;;;;;X
070874;CNNGB;NLRTM;FLNU6808681;;;;;;X
070972;CNSHA;DEHAM;VSTU5201462;;;;;;X
070974;CNSHA;DEHAM;VSTU5201478;;;;;;X
071072;CNSHA;DEHAM;SEGU7333065;;;;;;X
071074;CNSHA;DEHAM;TRIU0295373;;;;;;X
071172;CNSHA;DEHAM;PCVU2644769;;;;;;X
071174;CNSHA;DEHAM;PCVU2644795;;;;;;X
071272;CNSHA;DEHAM;TLLU2188017;;;;;;X
071274;CNSHA;DEHAM;SEGU2849830;;;;;;X
071372;CNSHA;DEHAM;SEGU3095436;;;;;;X
071374;CNSHA;DEHAM;CMAU2007518;;;;;;X
071474;CNSHA;DEHAM;GLDU5014712;;;;;;X
071572;CNSHA;DEHAM;SEGU1180159;;;;;;X
071574;CNSHA;DEHAM;OOLU0313928;;;;;;X
071772;CNSHA;DEHAM;DFSU2476540;;;;;;X
