BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
86;6;93.87;43.51;253.0;230.1;750.0;217.69
82;6;31.55;6.88;0.0;10.44;85.78;13.94
78;6;76.43;38.17;219.29;194.5;622.98;199.14
70;6;55.14;38.16;136.63;128.71;517.55;108.94
62;6;90.41;65.2;230.92;214.75;818.07;105.04
54;6;63.24;46.18;159.71;149.24;621.64;127.19
46;6;69.72;61.89;202.27;178.63;743.37;96.96
42;6;55.35;41.06;146.22;134.08;531.68;77.04
38;6;74.78;65.06;214.56;190.31;772.03;87.02
34;6;68.1;41.04;226.29;189.94;573.14;127.34
31;6;64.29;36.3;145.08;147.55;612.4;203.76
29;6;70.29;37.06;139.41;175.48;686.94;196.68
22;6;84.71;35.86;214.29;200.09;632.78;233.87
15;6;61.67;32.42;138.22;139.43;646.46;222.79
13;6;85.18;41.78;163.64;202.47;765.09;154.54
7;6;45.2;26.07;256.05;94.43;388.34;59.87
5;6;69.09;38.23;214.32;177.5;667.59;99.4
2;6;53.01;23.68;138.71;132.1;447.81;137.05
94;6;75.62;40.53;159.4;170.76;755.39;316.7
90;4;103.39;39.35;244.76;235.18;719.03;224.15
86;4;93.42;49.91;278.01;243.11;806.39;208.02
78;4;74.19;37.19;216.83;190.95;603.56;187.82
70;4;52.46;37.06;132.12;123.59;492.57;95.67
62;4;63.35;56.09;190.29;165.81;679.38;70.15
54;4;79.66;51.68;186.29;179.97;738.51;180.82
46;4;71.22;65.26;217.22;188.18;775.67;94.88
42;4;66.02;46.53;165.33;155.04;616.59;103.43
38;4;64.83;51.13;175.78;159.48;646.94;92.04
34;4;74.68;44.53;253.64;211.26;628.95;154.98
31;4;65.33;38.43;157.67;160.52;708.15;280.04
29;4;85.2;41.72;160.78;199.53;768.73;219.51
22;4;89.67;63.17;315.33;281.1;784.68;87.26
15;4;60.66;30.06;110.55;114.28;507.4;117.99
13;4;63.45;35.46;134.56;169.11;615.4;94.13
7;4;53.54;32.75;284.6;141.44;558.64;106.74
5;4;69.09;38.23;214.63;177.77;665.11;95.9
94;4;76.53;41.53;166.88;178.96;791.53;342.12
90;2;110.75;40.29;253.21;247.09;738.85;229.95
86;2;92.34;49.4;275.7;240.79;809.03;210.19
78;2;78.71;38.21;222.12;198.31;631.8;205.97
70;2;56.73;38.93;139.7;131.95;527.51;110.97
62;2;61.93;64.46;207.19;173.49;740.12;81.01
54;2;73.67;49.93;178.62;169.85;708.77;173.67
46;2;71.57;65.33;215.54;187.63;780.93;96.05
42;2;56.02;44.37;150.75;137.2;556.64;69.68
38;2;60.4;46.1;159.2;146.13;587.08;91.08
34;2;69.64;46.05;237.1;189.04;602.33;111.75
30;2;70.47;38.1;205.72;181.25;607.52;191.21
22;2;107.83;68.09;322.95;316.64;887.62;159.33
18;2;38.65;8.43;0.0;12.86;104.23;18.1
15;2;67.3;36.48;140.46;142.93;676.83;210.87
13;2;63.08;33.91;128.52;161.44;600.34;102.6
7;2;56.71;34.58;300.45;148.91;587.59;104.31
5;2;60.38;32.72;180.58;149.2;564.71;80.93
2;2;61.31;33.81;198.04;173.88;575.91;119.01
94;2;70.48;38.6;157.48;167.64;737.21;323.32
94;0;61.85;34.01;140.39;149.83;651.1;286.97
86;0;73.11;37.13;203.06;189.09;594.3;150.41
78;0;93.77;47.82;268.46;238.32;773.53;236.18
70;0;54.01;37.94;135.31;126.87;512.0;105.54
62;0;62.27;64.71;209.4;175.02;746.25;83.86
54;0;67.86;54.94;178.99;170.09;662.55;91.8
46;0;75.8;68.04;219.88;194.19;816.53;104.85
42;0;65.38;50.21;174.23;159.19;630.85;78.87
38;0;72.97;52.97;183.06;171.53;692.36;100.7
34;0;82.68;52.76;268.01;209.97;668.68;107.1
31;0;69.71;38.79;174.19;179.41;676.07;258.98
29;0;80.91;32.26;132.03;160.53;635.75;209.81
22;0;73.43;51.6;249.48;212.08;589.21;105.84
18;0;32.1;20.6;109.49;71.91;239.87;66.51
14;0;106.85;51.37;306.88;272.09;880.88;263.17
