Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
17.6,14.75,137.2,116.83,115.95,117.07,127.35,127.35,117.79,116.62,116.62,117.79
18.2,12.49,137.2,119.57,121.11,119.56,132.56,132.56,122.62,121.4,121.4,122.62
18.8,13.39,137.2,128.42,128.36,128.8,148.02,148.02,136.91,135.55,135.55,136.91
19,13.74,137.2,133.63,133.54,133.61,153.58,153.58,142.06,140.65,140.65,142.06
19.6,10,137.2,131.18,130.65,131.74,151.54,151.54,140.17,138.77,138.77,140.17
19.7,8.76,137.2,132.23,140.67,133.49,147.49,147.49,136.42,135.06,135.06,136.42
21,13.15,137.4,156.37,156.74,156.37,199.2,199.2,184.25,182.42,182.42,184.25
19.3,13.97,137.6,141.15,141.14,141.18,161.13,161.13,149.04,147.56,147.56,149.04
20.9,14.83,137.6,172.54,172.86,172.45,204.08,204.08,188.77,186.89,186.89,188.77
19.9,12.9,137.9,146.29,146.33,146.22,170.93,170.93,158.1,156.53,156.53,158.1
18.9,14.6,138,140.62,140.29,140.39,154.26,154.26,142.68,141.26,141.26,142.68
20.1,12.85,138,148.8,149.5,148.62,175.46,175.46,162.29,160.68,160.68,162.29
21.4,10.56,138,172.82,173.55,175.46,195.97,195.97,181.26,179.46,179.46,181.26
16.7,14.86,138.2,114.05,117.57,114.13,110.58,110.58,102.28,101.26,101.26,102.28
19.8,13.62,138.2,147.45,147.92,147.55,171.45,171.45,158.59,157.01,157.01,158.59
19.8,12.86,138.2,144.22,144.16,144.26,168.43,168.43,155.79,154.24,154.24,155.79
18.7,14.9,138.8,137.84,136.83,137.77,150.78,150.78,139.47,138.08,138.08,139.47
17.2,14.97,139.1,117.97,118.64,117.97,120.14,120.14,111.12,110.02,110.02,111.12
17.8,13.79,139.2,119.3,118.39,119.3,128.63,128.63,118.98,117.8,117.8,118.98
21.2,14.31,139.6,179.11,179.41,178.79,209.86,209.86,194.11,192.18,192.18,194.11
19.2,13.03,139.7,132.82,132.8,132.82,155.47,155.47,143.8,142.37,142.37,143.8
22.3,12.9,139.9,179.62,170.94,179.06,233.37,233.37,215.86,213.71,213.71,215.86
18.8,14.77,140.1,139.3,138.76,139.23,152.58,152.58,141.13,139.73,139.73,141.13
19.2,14.41,140.1,145.12,144.5,145.02,160.39,160.39,148.36,146.88,146.88,148.36
19.3,14.37,140.1,146.17,145.66,146.08,162.55,162.55,150.35,148.85,148.85,150.35
16.9,14.03,140.2,112.02,112.01,112.09,112.22,112.22,103.8,102.77,102.77,103.8
18.6,11.76,140.3,114.73,113.04,114.66,138.08,138.08,127.72,126.45,126.45,127.72
18.8,14.77,140.3,139.3,138.76,139.23,152.58,152.58,141.13,139.73,139.73,141.13
19,14.12,140.3,138.43,137.99,138.39,154.89,154.89,143.27,141.84,141.84,143.27
19.5,13.77,140.3,142.2,142.57,142.41,165,165,152.62,151.1,151.1,152.62
19.7,14.59,140.5,152.24,152.86,152.34,172.74,172.74,159.78,158.19,158.19,159.78
17.9,12.7,140.6,118.79,121.26,118.77,127.33,127.33,117.78,116.6,116.6,117.78
20.7,13.91,140.8,167.47,168.03,167.32,194.88,194.88,180.26,178.46,178.46,180.26
21.3,13.16,141.1,158.22,157.18,158.03,207.13,207.13,191.59,189.68,189.68,191.59
17.8,13.73,141.2,119.29,118.63,119.3,128.46,128.46,118.82,117.64,117.64,118.82
18.6,14.44,141.3,132.3,132.31,132.04,147.15,147.15,136.11,134.76,134.76,136.11
19.1,13.78,141.3,135.84,135.61,135.93,155.94,155.94,144.24,142.81,142.81,144.24
19.7,13.11,141.3,143.38,143.16,143.47,167.11,167.11,154.57,153.03,153.03,154.57
19.4,13.98,141.4,142.6,142.9,142.58,163.46,163.46,151.2,149.69,149.69,151.2
20.6,13.64,141.5,162.45,162.82,162.4,191.15,191.15,176.81,175.05,175.05,176.81
19.2,15.04,141.9,146.12,146.63,145.96,162.53,162.53,150.34,148.84,148.84,150.34
19.3,14.42,142,146.58,146.09,146.51,162.72,162.72,150.51,149.02,149.02,150.51
18.6,12.87,142.3,125.64,125.59,125.62,142,142,131.34,130.03,130.03,131.34
19.5,15.88,142.3,161.08,163.47,161.36,172.45,172.45,159.51,157.92,157.92,159.51
20,14.71,142.3,157.64,158.36,157.56,180.48,180.48,166.94,165.28,165.28,166.94
20.7,13.04,142.3,154.2,155.51,154.12,191.02,191.02,176.69,174.93,174.93,176.69
20.8,13.02,142.3,154.69,155.6,154.6,193.46,193.46,178.94,177.16,177.16,178.94
20,12.45,142.4,144.33,145.47,144.07,171.39,171.39,158.53,156.96,156.96,158.53
19.8,13.1,142.5,145.51,145.26,145.58,169.4,169.4,156.69,155.13,155.13,156.69
19,15.86,143.3,150.45,150.06,150.57,160.57,160.57,148.52,147.04,147.04,148.52
20.2,14.03,143.3,160.14,160.11,160.31,182.76,182.76,169.05,167.37,167.37,169.05
20.2,13.76,143.3,158.42,158.1,158.4,181.66,181.66,168.03,166.36,166.36,168.03
19.7,12.83,143.5,142,141.93,142.11,165.99,165.99,153.54,152.01,152.01,153.54
19.9,14.62,144.1,155.25,156.23,155.31,177.69,177.69,164.35,162.72,162.72,164.35
20.3,13.96,144.1,162.18,161.86,162.22,184.96,184.96,171.08,169.38,169.38,171.08
18.8,14.31,144.3,136.21,136.04,135.94,151.09,151.09,139.76,138.37,138.37,139.76
18.9,14.78,144.3,141.25,140.93,141.1,154.84,154.84,143.23,141.8,141.8,143.23
19.8,14.72,144.3,154.25,155.06,154.19,175.63,175.63,162.45,160.83,160.83,162.45
20,14.24,144.3,155.66,156.54,155.77,178.68,178.68,165.27,163.62,163.62,165.27
18.1,14.98,144.6,124.67,123.22,124.6,138.15,138.15,127.78,126.51,126.51,127.78
21.7,14.41,144.7,189.3,189.8,188.87,224.15,224.15,207.33,205.27,205.27,207.33
19.8,14.64,145.1,153.81,154.66,153.85,175.33,175.33,162.18,160.56,160.56,162.18
19.6,13.75,145.3,143.82,144.41,144.06,167.25,167.25,154.7,153.16,153.16,154.7
20.3,12.37,145.3,148.24,150.03,147.83,178.16,178.16,164.79,163.15,163.15,164.79
19.4,14.28,145.5,146.44,146.25,146.4,164.54,164.54,152.19,150.68,150.68,152.19
19.5,11.67,145.7,128.69,126,128.11,156.76,156.76,144.99,143.55,143.55,144.99
19.1,15.05,146,144.64,144.92,144.4,160.26,160.26,148.24,146.76,146.76,148.24
19.7,14.6,146.1,152.28,152.91,152.37,172.77,172.77,159.81,158.22,158.22,159.81
19.5,13.77,146.3,142.2,142.57,142.41,165,165,152.62,151.1,151.1,152.62
20.2,13.04,146.3,151.36,151.91,151.39,178.66,178.66,165.26,163.61,163.61,165.26
20.5,12.89,146.5,152.5,153.93,152.46,185.35,185.35,171.44,169.74,169.74,171.44
20.8,12.82,146.6,154.87,155.07,154.61,192.53,192.53,178.09,176.32,176.32,178.09
16.6,13.94,146.7,107.99,107.83,108.2,106.64,106.64,98.64,97.66,97.66,98.64
18.8,11.65,146.7,116.68,113.51,116.46,141.77,141.77,131.13,129.83,129.83,131.13
19.3,14.45,147.3,146.79,146.32,146.72,162.83,162.83,150.61,149.11,149.11,150.61
19.6,13.14,147.3,141.24,141.09,141.27,164.91,164.91,152.54,151.02,151.02,152.54
19.7,13.78,147.3,145.94,146.77,146.13,169.71,169.71,156.97,155.41,155.41,156.97
19.8,14.72,147.3,154.25,155.06,154.19,175.63,175.63,162.45,160.83,160.83,162.45
20,14.53,147.3,156.57,157.64,156.59,179.8,179.8,166.3,164.65,164.65,166.3
20.3,12.38,147.3,148.29,150.08,147.89,178.2,178.2,164.83,163.19,163.19,164.83
21.4,14.71,147.3,185.25,184.6,185.11,217.16,217.16,200.87,198.87,198.87,200.87
21.7,12.7,147.3,162.92,155.51,162.02,215.55,215.55,199.38,197.39,197.39,199.38
19.2,14.4,147.5,145.04,144.42,144.94,160.36,160.36,148.33,146.85,146.85,148.33
19.3,15.39,148,149.66,149.91,149.73,166.04,166.04,153.58,152.05,152.05,153.58
15.2,14.38,148.3,87.49,87.84,87.8,84.62,84.62,78.27,77.49,77.49,78.27
20,14.13,148.3,155.3,156.01,155.45,178.25,178.25,164.87,163.23,163.23,164.87
20.5,13.88,148.3,164.97,164.85,164.89,189.65,189.65,175.42,173.67,173.67,175.42
20,13.1,148.5,149.21,149.18,149.16,174.12,174.12,161.05,159.45,159.45,161.05
19.6,14.02,148.8,145.95,146.82,145.99,168.26,168.26,155.63,154.09,154.09,155.63
20,14.96,148.9,160.2,159.9,159.99,181.43,181.43,167.81,166.14,166.14,167.81
16.5,14.6,149,110.43,113.2,110.65,106.41,106.41,98.42,97.45,97.45,98.42
19.2,15,149.1,146.05,146.58,145.82,162.4,162.4,150.21,148.72,148.72,150.21
20,14.62,149.2,157.03,157.98,157.01,180.14,180.14,166.62,164.97,164.97,166.62
18.8,12.85,149.3,127.67,127.12,127.76,146.14,146.14,135.17,133.83,133.83,135.17
20.4,14.85,149.3,166.19,165.35,166.29,191.09,191.09,176.75,174.99,174.99,176.75
20.5,13.82,149.3,164.28,164.15,164.21,189.39,189.39,175.18,173.44,173.44,175.18
21,15.28,149.7,176.67,176.93,176.82,208.68,208.68,193.03,191.11,191.11,193.03
18.9,11.91,149.9,119.66,117.85,119.47,144.83,144.83,133.96,132.63,132.63,133.96
20.7,14,150,168.56,169.13,168.27,195.27,195.27,180.62,178.82,178.82,180.62
18.4,12.85,150.3,123.7,124.34,123.7,137.79,137.79,127.45,126.19,126.19,127.45
18.8,14.74,150.3,139.16,138.67,139.07,152.49,152.49,141.04,139.64,139.64,141.04
19.1,14.15,150.3,140.65,140.11,140.62,157.23,157.23,145.43,143.99,143.99,145.43
19.4,13.34,150.3,138.19,137.72,138.51,161.11,161.11,149.02,147.53,147.53,149.02
19.4,15.89,150.3,158.69,160.88,159,170.08,170.08,157.32,155.75,155.75,157.32
19.6,15.04,150.3,153.32,153.55,153.52,171.96,171.96,159.06,157.48,157.48,159.06
20,15.14,150.4,162.8,161.64,162.42,182.1,182.1,168.44,166.76,166.76,168.44
20.5,13.21,150.4,154.95,156.07,155,186.76,186.76,172.75,171.03,171.03,172.75
21,12.8,150.5,156.93,155.32,156.63,197.54,197.54,182.72,180.9,180.9,182.72
19.1,14.41,150.7,143.49,142.86,143.33,158.12,158.12,146.25,144.8,144.8,146.25
20.6,12.73,150.7,152.96,154.16,152.69,187.11,187.11,173.07,171.34,171.34,173.07
21.1,14.24,150.7,176.69,177.25,176.35,206.85,206.85,191.33,189.42,189.42,191.33
21.5,15.31,150.7,195.33,193.14,195.11,222.69,222.69,205.98,203.93,203.93,205.98
20,14.74,151.4,157.88,158.5,157.78,180.6,180.6,167.05,165.38,165.38,167.05
20.1,14.81,151.4,160.57,160.56,160.61,183.35,183.35,169.59,167.9,167.9,169.59
20.2,12.63,151.4,148.44,149.87,148.2,176.91,176.91,163.63,162,162,163.63
19.7,14.29,151.6,150.35,150.99,150.58,171.63,171.63,158.75,157.17,157.17,158.75
19.8,14.31,151.9,152.08,152.9,152.33,174.1,174.1,161.03,159.43,159.43,161.03
20.7,14.01,152.1,168.67,169.23,168.37,195.31,195.31,180.66,178.86,178.86,180.66
18.6,12.69,152.4,125.1,124.77,125.08,141.38,141.38,130.77,129.47,129.47,130.77
18.8,13.98,152.4,132.64,132.69,132.74,150.01,150.01,138.75,137.37,137.37,138.75
19.4,14.75,152.4,148.99,149.24,148.97,166.2,166.2,153.73,152.2,152.2,153.73
19.5,13.46,152.4,140.75,140.39,141.12,163.84,163.84,151.55,150.04,150.04,151.55
19.8,14.75,152.4,154.43,155.22,154.36,175.74,175.74,162.55,160.93,160.93,162.55
20.1,13.88,152.4,156.77,156.82,156.86,179.7,179.7,166.21,164.56,164.56,166.21
20.5,13.1,152.4,153.8,155.1,153.82,186.28,186.28,172.3,170.59,170.59,172.3
21.8,14.26,152.4,189.65,190.24,189.21,226.25,226.25,209.28,207.19,207.19,209.28
19.6,14.97,152.5,152.83,153.17,153.03,171.71,171.71,158.83,157.25,157.25,158.83
20.7,13.83,152.5,166.33,166.88,166.25,194.53,194.53,179.93,178.14,178.14,179.93
20,14.18,152.6,155.48,156.26,155.6,178.44,178.44,165.05,163.41,163.41,165.05
21.4,13.91,152.8,176.99,176.3,176.86,213.43,213.43,197.42,195.45,195.45,197.42
18.9,14.91,153.1,141.54,141.15,141.35,155.27,155.27,143.61,142.19,142.19,143.61
19.4,14.07,153.1,143.73,143.94,143.71,163.79,163.79,151.5,149.99,149.99,151.5
19.9,14.99,153.1,158.51,158.45,158.27,179.07,179.07,165.63,163.98,163.98,165.63
18.5,13.79,153.4,126.11,126.3,126.26,142.94,142.94,132.22,130.9,130.9,132.22
19.8,14.73,153.4,154.31,155.11,154.25,175.66,175.66,162.48,160.87,160.87,162.48
19.8,13.99,153.5,149.59,150.6,149.67,172.88,172.88,159.91,158.32,158.32,159.91
21,15.27,153.5,176.51,176.77,176.64,208.64,208.64,192.99,191.07,191.07,192.99
20.2,13.03,153.8,151.27,151.85,151.3,178.62,178.62,165.22,163.58,163.58,165.22
17.7,14.98,154.3,120.43,118.48,120.65,129.96,129.96,120.21,119.01,119.01,120.21
19.6,13.88,154.4,144.65,145.51,144.77,167.74,167.74,155.15,153.61,153.61,155.15
20,13.88,154.4,154.02,154.45,154.11,177.26,177.26,163.96,162.33,162.33,163.96
20,14.75,154.4,157.96,158.55,157.86,180.63,180.63,167.08,165.42,165.42,167.08
20,13.93,154.4,154.33,154.79,154.48,177.46,177.46,164.15,162.51,162.51,164.15
20.4,10.25,154.4,151.3,153.88,152.24,170.35,170.35,157.57,156,156,157.57
20.5,14.71,154.4,167.16,166.81,167.21,193.09,193.09,178.6,176.82,176.82,178.6
20.8,13.75,154.4,165.78,166.54,165.78,196.76,196.76,181.99,180.18,180.18,181.99
20.8,15.2,154.6,172.23,172.11,172.4,202.96,202.96,187.74,185.87,185.87,187.74
20,13.97,155.1,154.56,155.06,154.74,177.62,177.62,164.29,162.66,162.66,164.29
20.4,15.14,155.2,169.08,167.07,168.8,192.23,192.23,177.81,176.04,176.04,177.81
18.8,14.61,155.4,138.45,138.14,138.22,152.07,152.07,140.66,139.26,139.26,140.66
19.9,12.71,155.4,144.88,145.31,144.71,170.15,170.15,157.38,155.81,155.81,157.38
20.1,13.55,155.4,154.25,154.16,154.23,178.36,178.36,164.98,163.34,163.34,164.98
20.5,13.88,155.4,164.97,164.85,164.89,189.65,189.65,175.42,173.67,173.67,175.42
20.6,13.84,155.4,165.59,165.81,165.49,192.02,192.02,177.61,175.84,175.84,177.61
20.6,14.97,155.4,168.64,168.13,168.57,196.74,196.74,181.98,180.17,180.17,181.98
21.4,13.4,155.5,163.28,162.42,163.28,210.98,210.98,195.15,193.2,193.2,195.15
21.7,13.56,155.6,173.18,171.05,172.94,219.97,219.97,203.46,201.44,201.44,203.46
19.8,13.1,155.7,145.51,145.26,145.58,169.4,169.4,156.69,155.13,155.13,156.69
19.4,14.96,156.2,149.36,149.82,149.5,166.93,166.93,154.4,152.87,152.87,154.4
18.5,13.93,156.4,126.92,127,126.95,143.39,143.39,132.63,131.31,131.31,132.63
20.4,13.82,156.4,162.92,162.54,162.87,186.88,186.88,172.85,171.13,171.13,172.85
17,11.5,156.5,97.87,97.57,97.94,107.23,107.23,99.18,98.2,98.2,99.18
22.1,12.23,156.5,172.73,160.55,172.53,223.96,223.96,207.15,205.09,205.09,207.15
20.5,14.22,156.9,167.05,167.21,166.83,191.07,191.07,176.74,174.98,174.98,176.74
18.9,12.57,157.2,127.1,126.32,127.09,147.27,147.27,136.22,134.86,134.86,136.22
21.2,15.27,157.2,182.48,182.19,182.46,214.12,214.12,198.05,196.08,196.08,198.05
19.6,15.05,157.4,153.39,153.61,153.59,172,172,159.09,157.51,157.51,159.09
19.6,14.39,157.7,149.87,150.14,150.02,169.62,169.62,156.9,155.33,155.33,156.9
14.9,11.79,157.9,84.65,85.15,84.55,75.35,75.35,69.7,69,69,69.7
21,15.28,158.2,176.67,176.93,176.82,208.68,208.68,193.03,191.11,191.11,193.03
18.5,14.86,158.4,132.71,131.75,132.63,146.29,146.29,135.31,133.97,133.97,135.31
18.8,15.87,158.4,147.67,146.06,147.59,156.02,156.02,144.31,142.87,142.87,144.31
19.2,14.42,158.4,145.19,144.58,145.09,160.43,160.43,148.39,146.91,146.91,148.39
21.9,12.37,158.7,167.6,157.07,166.87,219.23,219.23,202.78,200.76,200.76,202.78
21.2,15.29,159.1,182.82,182.54,182.86,214.21,214.21,198.13,196.16,196.16,198.13
21.3,15.29,159.1,186.64,185.77,186.78,216.98,216.98,200.7,198.7,198.7,200.7
21.5,14.55,159.1,186.57,186.48,186.25,219.2,219.2,202.76,200.74,200.74,202.76
19.7,13.99,159.3,147.46,148.49,147.58,170.5,170.5,157.71,156.14,156.14,157.71
20.3,14.64,159.3,163.4,163.49,163.39,187.7,187.7,173.62,171.89,171.89,173.62
19,15.24,159.4,144.05,143.47,144.07,158.59,158.59,146.69,145.23,145.23,146.69
19.2,13.93,159.4,139.21,139.01,139.34,158.72,158.72,146.81,145.35,145.35,146.81
20.8,15.2,159.4,172.23,172.11,172.4,202.96,202.96,187.74,185.87,185.87,187.74
22.6,12.23,159.4,188.11,177.51,189.35,238.09,238.09,220.22,218.03,218.03,220.22
20.7,13.9,159.5,167.34,167.9,167.2,194.84,194.84,180.22,178.42,178.42,180.22
20.3,14.6,159.7,163.22,163.46,163.15,187.55,187.55,173.47,171.75,171.75,173.47
21.6,12.68,159.7,161.94,155.09,160.98,212.74,212.74,196.78,194.82,194.82,196.78
19.8,12.84,159.8,144.09,144.06,144.12,168.35,168.35,155.72,154.17,154.17,155.72
21.8,13.56,159.8,175.71,173.19,175.42,222.75,222.75,206.04,203.99,203.99,206.04
20.7,14.18,160.2,170.18,170.59,169.9,196.04,196.04,181.33,179.53,179.53,181.33
20,13.11,160.3,149.28,149.23,149.23,174.16,174.16,161.09,159.49,159.49,161.09
17.4,12.51,160.4,112.61,115.84,112.75,117.29,117.29,108.49,107.41,107.41,108.49
17.9,14.16,160.4,119.35,117.9,119.66,131.7,131.7,121.81,120.6,120.6,121.81
19.8,14.77,160.4,154.57,155.32,154.48,175.81,175.81,162.62,161,161,162.62
20.2,14.64,160.4,161.28,161.69,161.22,185.19,185.19,171.29,169.59,169.59,171.29
21.2,12.68,160.4,159.31,155.38,158.63,202.14,202.14,186.97,185.11,185.11,186.97
21.5,14.49,160.5,186.12,186.17,185.8,218.92,218.92,202.5,200.48,200.48,202.5
20.4,14.93,160.6,166.73,165.59,166.75,191.4,191.4,177.04,175.28,175.28,177.04
20.9,14.49,160.7,174.29,174.37,174.25,202.62,202.62,187.42,185.55,185.55,187.42
20,14.6,160.8,156.91,157.9,156.91,180.06,180.06,166.55,164.9,164.9,166.55
20.5,13.02,160.8,153.18,154.55,153.17,185.93,185.93,171.97,170.26,170.26,171.97
20.8,12.97,160.8,154.63,155.37,154.51,193.23,193.23,178.73,176.95,176.95,178.73
20.8,15.28,161,173.46,173.16,173.69,203.3,203.3,188.04,186.17,186.17,188.04
22.1,15.72,161.1,224.74,226.97,225.2,242.07,242.07,223.91,221.68,221.68,223.91
20.2,13.55,161.2,156.34,156.11,156.4,180.8,180.8,167.23,165.57,165.57,167.23
16.7,13.95,161.3,109.58,109.35,109.79,108.43,108.43,100.3,99.3,99.3,100.3
19.2,13.93,161.4,139.21,139.01,139.34,158.72,158.72,146.81,145.35,145.35,146.81
19.5,14.75,161.4,150.36,150.69,150.42,168.55,168.55,155.91,154.35,154.35,155.91
20.9,14.7,161.4,173.3,173.47,173.27,203.52,203.52,188.25,186.38,186.38,188.25
20.7,14.62,161.7,170.42,170.36,170.37,197.91,197.91,183.06,181.24,181.24,183.06
20.7,14.62,161.7,170.42,170.36,170.37,197.91,197.91,183.06,181.24,181.24,183.06
18.3,13.93,162.4,124.32,123.87,124.3,139.19,139.19,128.75,127.47,127.47,128.75
20.7,13.88,162.4,167.06,167.62,166.95,194.75,194.75,180.14,178.34,178.34,180.14
20.9,12.2,162.4,156.22,155.64,155.33,192.1,192.1,177.69,175.92,175.92,177.69
21,13.95,162.5,171.27,172.17,170.96,202.88,202.88,187.66,185.79,185.79,187.66
20.9,15.14,162.9,172.9,173.21,173.1,205.39,205.39,189.98,188.09,188.09,189.98
19.2,12.74,163.3,131.67,131.55,131.64,154.39,154.39,142.8,141.38,141.38,142.8
20.4,13.85,163.5,163.23,162.86,163.18,187,187,172.97,171.25,171.25,172.97
20.5,14.13,163.5,166.77,166.86,166.63,190.7,190.7,176.39,174.63,174.63,176.39
20.8,13.82,163.5,167,167.79,166.95,197.07,197.07,182.28,180.47,180.47,182.28
20.6,13.64,164.2,162.45,162.82,162.4,191.15,191.15,176.81,175.05,175.05,176.81
21.3,14.55,164.3,182.28,182.13,182.03,213.67,213.67,197.64,195.67,195.67,197.64
22.5,15.22,164.4,221.72,221.17,221.85,251.71,251.71,232.82,230.5,230.5,232.82
19.9,13.91,164.5,151.5,152.28,151.59,174.97,174.97,161.84,160.23,160.23,161.84
21.7,13.15,164.7,163.99,160.15,163.61,217.89,217.89,201.54,199.53,199.53,201.54
22.5,15.18,164.7,220.9,220.4,221.01,251.5,251.5,232.63,230.31,230.31,232.63
20.1,14.03,164.9,157.55,157.79,157.74,180.3,180.3,166.77,165.11,165.11,166.77
20,15.42,165.2,167.54,165.75,167.21,183.14,183.14,169.4,167.71,167.71,169.4
16.5,15.77,165.5,117.39,125.01,116.89,108.98,108.98,100.8,99.8,99.8,100.8
18.8,12.82,165.5,127.61,127,127.7,146.03,146.03,135.08,133.73,133.73,135.08
19.1,15.11,165.6,144.8,144.99,144.7,160.46,160.46,148.42,146.94,146.94,148.42
20.7,14.23,165.6,170.49,170.82,170.26,196.26,196.26,181.53,179.72,179.72,181.53
20.6,15.2,166,170.99,169.69,171,197.67,197.67,182.84,181.02,181.02,182.84
19.7,14.43,166.4,151.41,151.96,151.72,172.15,172.15,159.23,157.65,157.65,159.23
20,12.39,166.5,143.83,145.02,143.57,171.14,171.14,158.3,156.72,156.72,158.3
20.2,14.33,166.5,160.39,161.17,160.23,183.96,183.96,170.16,168.47,168.47,170.16
21,12.22,166.5,157.61,156.09,156.56,194.73,194.73,180.11,178.32,178.32,180.11
21,13.82,166.5,168.97,169.71,168.86,202.29,202.29,187.11,185.25,185.25,187.11
22.4,15.31,166.5,220.82,219.94,221,249.11,249.11,230.42,228.13,228.13,230.42
17.7,14.98,166.8,120.43,118.48,120.65,129.96,129.96,120.21,119.01,119.01,120.21
18.9,14.89,166.8,141.5,141.12,141.32,155.2,155.2,143.55,142.13,142.13,143.55
21.8,14.58,166.9,193.65,193.59,193.3,227.81,227.81,210.72,208.62,208.62,210.72
21.1,14.13,167.5,175.44,176.14,175.01,206.35,206.35,190.87,188.97,188.97,190.87
21.7,14.49,167.5,190.18,190.51,189.71,224.54,224.54,207.69,205.62,205.62,207.69
21.1,14.87,168.3,177.12,177.01,177.34,209.64,209.64,193.91,191.98,191.98,193.91
20.1,14.21,168.4,157.95,158.63,158.03,181.01,181.01,167.43,165.76,165.76,167.43
19.2,13.94,168.5,139.34,139.13,139.46,158.75,158.75,146.84,145.38,145.38,146.84
19.4,14.03,168.5,143.21,143.47,143.19,163.64,163.64,151.36,149.86,149.86,151.36
20.4,13.88,168.5,163.51,163.15,163.47,187.13,187.13,173.09,171.36,171.36,173.09
18.9,14.58,168.9,140.52,140.19,140.28,154.19,154.19,142.62,141.2,141.2,142.62
20.3,15.42,169.1,172.99,170.32,172.82,190.75,190.75,176.43,174.68,174.68,176.43
21,13.97,169.2,171.6,172.51,171.26,202.97,202.97,187.74,185.87,185.87,187.74
19.3,15.23,169.7,148.55,148.93,148.75,165.5,165.5,153.08,151.56,151.56,153.08
19.4,14.58,170,148.64,148.55,148.58,165.6,165.6,153.18,151.65,151.65,153.18
19.8,12.76,170,143.52,143.63,143.48,168.02,168.02,155.41,153.87,153.87,155.41
20.9,13.96,170.2,170.21,171.16,169.98,200.29,200.29,185.26,183.42,183.42,185.26
20.7,13.97,170.4,168.22,168.79,167.97,195.14,195.14,180.5,178.7,178.7,180.5
20.2,14.86,170.5,163.09,162.44,163.28,186.04,186.04,172.08,170.37,170.37,172.08
20.7,13.93,170.6,167.73,168.29,167.55,194.97,194.97,180.34,178.54,178.54,180.34
19.7,13.04,170.9,143.09,142.87,143.17,166.83,166.83,154.31,152.78,152.78,154.31
19.1,14.4,171,143.41,142.78,143.26,158.09,158.09,146.22,144.77,144.77,146.22
19.2,14.42,171,145.19,144.58,145.09,160.43,160.43,148.39,146.91,146.91,148.39
17.6,12.72,171.1,115.7,118.82,115.91,121.64,121.64,112.51,111.39,111.39,112.51
20.8,15.09,171.1,171.08,171.2,171.22,202.51,202.51,187.31,185.45,185.45,187.31
22.1,15.27,171.3,213.09,210.48,212.92,239.9,239.9,221.9,219.69,219.69,221.9
21.3,15.06,172,183.78,182.85,183.95,215.97,215.97,199.76,197.77,197.77,199.76
20.3,14.26,172.3,162.77,163.2,162.64,186.18,186.18,172.21,170.5,170.5,172.21
20.9,14.83,172.4,172.54,172.86,172.45,204.08,204.08,188.77,186.89,186.89,188.77
20.4,14.66,172.5,165.44,165.24,165.53,190.32,190.32,176.04,174.29,174.29,176.04
20.6,14.71,172.5,168.57,168.37,168.54,195.68,195.68,180.99,179.19,179.19,180.99
21.6,15.2,172.7,197.07,194.35,196.66,225.03,225.03,208.14,206.07,206.07,208.14
21.7,14.55,173,190.88,190.98,190.44,224.82,224.82,207.95,205.89,205.89,207.95
20.9,14.71,173.5,173.24,173.42,173.21,203.57,203.57,188.29,186.42,186.42,188.29
21,15.05,173.5,174.43,174.75,174.71,207.71,207.71,192.12,190.21,190.21,192.12
21.5,14.35,173.5,185.04,185.16,184.95,218.27,218.27,201.89,199.88,199.88,201.89
22.3,12.21,173.7,178.15,165.67,178.57,229.43,229.43,212.21,210.1,210.1,212.21
22.7,12.21,173.7,192.11,182.69,193.77,240.85,240.85,222.78,220.57,220.57,222.78
19.9,13.17,174,147.84,147.64,147.9,172.03,172.03,159.12,157.54,157.54,159.12
20.6,15.18,174,170.69,169.47,170.69,197.59,197.59,182.77,180.95,180.95,182.77
21.1,12.86,174,157.38,155.27,157.05,200.42,200.42,185.38,183.53,183.53,185.38
20.4,13.64,174.1,160.65,160.42,160.73,186.12,186.12,172.15,170.44,170.44,172.15
20.5,15.68,174.2,178.94,179.32,179.05,196.95,196.95,182.17,180.36,180.36,182.17
20.2,13.02,174.5,151.19,151.79,151.2,178.58,178.58,165.18,163.54,163.54,165.18
18.8,14.74,174.6,139.16,138.67,139.07,152.49,152.49,141.04,139.64,139.64,141.04
20.6,13.89,174.6,166.23,166.45,166.13,192.23,192.23,177.81,176.04,176.04,177.81
17.4,13.61,174.8,114.77,115.25,115,120.39,120.39,111.36,110.25,110.25,111.36
20.9,13.51,175.3,161.59,162.41,161.83,198.27,198.27,183.39,181.57,181.57,183.39
19.8,13.92,175.5,149.07,150.06,149.17,172.61,172.61,159.66,158.07,158.07,159.66
20.8,13.91,175.5,168.42,169.24,168.27,197.46,197.46,182.65,180.83,180.83,182.65
20.4,14.65,175.6,165.41,165.24,165.49,190.28,190.28,176.01,174.25,174.25,176.01
20.7,12.2,175.6,153.35,154.17,152.72,187.12,187.12,173.08,171.36,171.36,173.08
20.8,14.74,175.6,171.28,171.47,171.18,201.04,201.04,185.96,184.11,184.11,185.96
24.8,14.37,175.6,250.35,209.11,249.14,322.66,322.66,298.45,295.48,295.48,298.45
