Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
14.4,11.54,60.6,77.54,78.87,77.45,68.18,68.18,63.07,62.44,62.44,63.07
14.7,10.3,61,77.26,78.02,77.78,69.64,69.64,64.42,63.77,63.77,64.42
13,13.91,61.1,57.2,62.86,57.42,54.62,54.62,50.52,50.02,50.02,50.52
17.3,13.04,61.6,111.03,114.39,111.16,116.95,116.95,108.17,107.1,107.1,108.17
12.2,10.27,62.6,54.84,55.13,54.45,41.79,41.79,38.66,38.27,38.27,38.66
13.2,12.03,62.6,54.34,53.24,54.42,54.44,54.44,50.36,49.86,49.86,50.36
14,12.05,62.6,66.1,66.13,66.31,63.98,63.98,59.18,58.59,58.59,59.18
12.2,10.42,62.7,53.73,53.92,53.42,41.98,41.98,38.83,38.44,38.44,38.83
13.1,11.78,63,52.36,51.19,52.37,52.98,52.98,49,48.51,48.51,49
14.8,11.78,63.1,83.69,84.35,83.48,73.96,73.96,68.41,67.73,67.73,68.41
17.6,11.16,63.2,103.98,104.71,103.73,116.81,116.81,108.04,106.97,106.97,108.04
13.9,11.33,63.3,67.7,68.06,67.74,61.55,61.55,56.93,56.37,56.37,56.93
14,11.33,63.3,69.72,70.46,69.77,62.77,62.77,58.06,57.48,57.48,58.06
13.7,11.33,63.5,63.72,63.33,63.75,59.16,59.16,54.72,54.18,54.18,54.72
14,13.1,63.6,69.69,72.33,70.07,65.66,65.66,60.73,60.13,60.13,60.73
14.7,10.61,63.6,77.46,79.13,77.87,70.28,70.28,65.01,64.36,64.36,65.01
17.9,14.51,63.6,117.51,117.28,117.42,132.7,132.7,122.74,121.52,121.52,122.74
17.9,14.51,63.6,117.51,117.28,117.42,132.7,132.7,122.74,121.52,121.52,122.74
13.4,11.33,64.3,58.22,56.95,58.25,55.68,55.68,51.51,50.99,50.99,51.51
14.1,11.54,64.5,71.16,71.78,71.19,64.37,64.37,59.54,58.95,58.95,59.54
10,13.96,65.1,55.66,67.72,50.56,26.68,26.68,24.68,24.44,24.44,24.68
13.4,11.33,65.5,58.22,56.95,58.25,55.68,55.68,51.51,50.99,50.99,51.51
13.2,11.96,65.6,54.07,52.88,54.15,54.34,54.34,50.27,49.77,49.77,50.27
14.1,14.74,65.6,68.42,67.68,67.99,69.44,69.44,64.23,63.59,63.59,64.23
15,11.34,65.6,83.73,85.2,83.56,75.82,75.82,70.13,69.43,69.43,70.13
16.1,11.23,65.6,82.75,81.23,82.76,91.73,91.73,84.85,84.01,84.01,84.85
16.2,11.29,65.6,83.6,82.18,83.57,93.45,93.45,86.44,85.58,85.58,86.44
16.2,11.31,65.6,83.65,82.29,83.63,93.5,93.5,86.49,85.63,85.63,86.49
15.8,11.69,66,83.58,83.32,83.61,88.22,88.22,81.6,80.79,80.79,81.6
13.8,11.84,66.6,63.22,62.6,63.37,61.18,61.18,56.59,56.02,56.02,56.59
14.3,13.27,67.5,74.52,77.44,74.91,69.85,69.85,64.61,63.97,63.97,64.61
12.1,12.03,67.6,47.64,47.87,47.45,42.91,42.91,39.69,39.3,39.3,39.69
12.4,9.92,67.6,58.43,58.49,58.25,43.23,43.23,39.98,39.58,39.58,39.98
12.7,9.77,67.6,61.28,61.69,61.46,45.93,45.93,42.48,42.06,42.06,42.48
16,11.26,67.6,82.25,80.91,82.28,90.26,90.26,83.49,82.65,82.65,83.49
11.3,15.45,67.9,58.02,63.64,52.9,38.46,38.46,35.58,35.22,35.22,35.58
14,12.44,68.3,65.95,65.99,66.33,64.61,64.61,59.76,59.17,59.17,59.76
14.6,15.34,68.6,75.35,65.85,73.59,77.33,77.33,71.53,70.82,70.82,71.53
13.4,12.24,69.4,57.61,56.64,57.64,57.03,57.03,52.75,52.23,52.23,52.75
15.1,12.1,69.6,83.14,83.73,83.05,78.78,78.78,72.87,72.14,72.14,72.87
14.1,11.32,69.7,71.73,72.87,71.79,63.99,63.99,59.18,58.6,58.6,59.18
14.8,11.77,70.4,83.74,84.4,83.53,73.94,73.94,68.39,67.71,67.71,68.39
15,14.73,70.6,83.04,81.62,82.85,82.22,82.22,76.05,75.3,75.3,76.05
15.1,12.12,70.6,82.96,83.56,82.9,78.82,78.82,72.91,72.18,72.18,72.91
15.2,14.46,70.6,87.4,87.5,87.6,84.77,84.77,78.41,77.63,77.63,78.41
18.2,10.22,70.7,111.51,113.51,111.57,124.58,124.58,115.23,114.08,114.08,115.23
13.7,12.45,71.2,62.02,61.68,62.26,60.91,60.91,56.34,55.78,55.78,56.34
14.6,13.99,71.2,79.84,83.38,80.05,75.15,75.15,69.52,68.82,68.82,69.52
19.5,13.97,71.3,143.87,144.51,143.78,165.74,165.74,153.3,151.78,151.78,153.3
18.7,14.49,71.4,135.17,135.08,134.75,149.48,149.48,138.27,136.89,136.89,138.27
14.2,12.84,71.6,70.89,71.68,71.34,67.83,67.83,62.74,62.12,62.12,62.74
18.3,14.95,71.8,128.45,127.25,128.15,142.27,142.27,131.6,130.29,130.29,131.6
14,12.42,72.2,65.87,65.92,66.25,64.58,64.58,59.74,59.14,59.14,59.74
17.4,14.1,72.3,114.25,114.26,114.2,121.72,121.72,112.59,111.47,111.47,112.59
16.7,11.24,72.6,90.22,89.17,90.12,101.41,101.41,93.8,92.87,92.87,93.8
18.7,13.74,73,128.52,128.86,128.49,147.04,147.04,136.01,134.66,134.66,136.01
14.3,13.7,73.1,75.97,80.8,76.3,70.55,70.55,65.25,64.6,64.6,65.25
12.5,9.89,73.3,59.26,59.46,59.23,44.14,44.14,40.83,40.43,40.43,40.83
12.4,12.21,73.7,49.54,49.93,49.41,46.1,46.1,42.64,42.22,42.22,42.64
13.5,12.35,73.7,59.25,58.53,59.37,58.37,58.37,53.99,53.45,53.45,53.99
13.6,12.04,73.7,59.46,58.43,59.56,59.09,59.09,54.65,54.11,54.11,54.65
15.6,12.12,73.7,84.15,84.23,84.19,86.16,86.16,79.7,78.9,78.9,79.7
16.8,11.24,73.7,91.92,91.1,91.83,103.08,103.08,95.35,94.4,94.4,95.35
15.1,15.37,74.2,84.03,77.55,82.93,84.84,84.84,78.47,77.69,77.69,78.47
16.7,11.29,74.7,90.53,89.49,90.42,101.55,101.55,93.93,93,93,93.93
12.3,12.2,74.9,49.07,49.36,48.93,45.08,45.08,41.7,41.28,41.28,41.7
14.5,11.3,75.2,78.86,80.96,78.83,69.03,69.03,63.85,63.22,63.22,63.85
13.4,9.92,75.4,67.23,69.45,67.82,53.44,53.44,49.43,48.94,48.94,49.43
14.5,11.3,75.5,78.86,80.96,78.83,69.03,69.03,63.85,63.22,63.22,63.85
15.3,10.74,75.5,80.71,80.2,80.86,78.7,78.7,72.8,72.07,72.07,72.8
13.2,10.19,75.7,63.71,65.21,64,51.71,51.71,47.83,47.36,47.36,47.83
19.5,14.52,75.7,149.56,149.59,149.5,167.73,167.73,155.15,153.6,153.6,155.15
18.8,10.11,75.9,116.34,114.92,116.49,135.68,135.68,125.5,124.25,124.25,125.5
15.2,2.39,76.1,92.02,76.02,68.45,48.53,48.53,44.89,44.44,44.44,44.89
14.9,11.77,76.4,84.74,85.26,84.64,75.31,75.31,69.66,68.97,68.97,69.66
15.2,15.89,76.4,88.8,81.34,86.29,87.28,87.28,80.73,79.93,79.93,80.73
15.5,12.1,76.7,83.8,84.1,83.78,84.62,84.62,78.27,77.49,77.49,78.27
15.8,12.28,76.7,86.14,85.41,86.27,89.58,89.58,82.86,82.03,82.03,82.86
15.1,11.63,76.8,85.64,86.12,85.46,77.82,77.82,71.98,71.26,71.26,71.98
13.8,11.3,76.9,65.83,65.87,65.88,60.3,60.3,55.77,55.22,55.22,55.77
15,10.83,77.2,79.84,81.11,80.14,74.75,74.75,69.14,68.45,68.45,69.14
13.6,15.73,77.7,65.81,55.14,61.59,64.19,64.19,59.37,58.78,58.78,59.37
14.2,10.88,77.7,73.61,75.68,73.9,64.44,64.44,59.6,59.01,59.01,59.6
14.2,10.88,77.7,73.61,75.68,73.9,64.44,64.44,59.6,59.01,59.01,59.6
15.2,12.13,77.7,83.13,83.73,83.09,80.28,80.28,74.25,73.51,73.51,74.25
15.8,13.93,77.7,92.96,93.42,93.45,93.15,93.15,86.16,85.3,85.3,86.16
16.5,11.32,77.7,87.48,86.17,87.49,98.34,98.34,90.96,90.06,90.06,90.96
14.6,11.77,78,80.7,81.6,80.54,71.24,71.24,65.89,65.24,65.24,65.89
17.4,12.93,78.5,112.58,116.11,112.67,118.5,118.5,109.6,108.51,108.51,109.6
12.9,11.62,78.9,50.01,49.06,50.07,50.58,50.58,46.78,46.32,46.32,46.78
15.5,15.9,79.5,95.22,92.67,93.3,92.09,92.09,85.18,84.33,84.33,85.18
14.1,9.53,79.7,74.25,76.19,75.59,60.66,60.66,56.11,55.55,55.55,56.11
14.1,13.46,79.7,72.76,77.39,73.17,67.51,67.51,62.45,61.82,61.82,62.45
18.9,13.72,79.7,131.65,131.75,131.56,151.32,151.32,139.96,138.57,138.57,139.96
15.1,11.77,80,85.57,85.89,85.5,78.11,78.11,72.25,71.53,71.53,72.25
18.8,11.19,80.2,114.06,109.85,113.47,140.01,140.01,129.5,128.22,128.22,129.5
14.7,11.77,80.3,82.37,83.18,82.16,72.58,72.58,67.13,66.47,66.47,67.13
22.6,7.11,80.6,133.96,80.45,105.85,201.26,201.26,186.16,184.31,184.31,186.16
14.5,12.3,80.7,74.78,75.29,75.13,70.87,70.87,65.55,64.9,64.9,65.55
15.8,12.1,80.7,85.45,85.1,85.47,89.17,89.17,82.48,81.66,81.66,82.48
15.9,12.12,80.7,86.52,85.96,86.53,90.77,90.77,83.96,83.12,83.12,83.96
14.8,11.31,81.3,82.48,84.38,82.41,73.03,73.03,67.55,66.88,66.88,67.55
14.8,11.32,81.4,82.57,84.43,82.49,73.05,73.05,67.57,66.9,66.9,67.57
14.3,11.77,81.6,74.53,75.23,74.62,67.31,67.31,62.26,61.64,61.64,62.26
14.4,11.77,81.7,76.72,77.57,76.74,68.6,68.6,63.45,62.82,62.82,63.45
