X;Draft;Area
47.30;6.0;95.90
47.30;6.5;107.64
47.30;7.0;120.37
47.30;7.5;134.29
47.30;8.0;149.63
47.30;8.5;166.61
47.30;9.0;185.32
47.30;9.5;205.68
47.30;10.0;227.50
47.30;10.5;250.56
47.30;11.0;274.59
47.30;11.5;299.36
47.30;12.0;324.71
47.30;12.5;350.51
47.30;13.0;376.67
47.30;13.5;403.10
47.30;14.0;429.71
47.30;14.5;456.44
47.30;15.0;483.24
47.30;15.5;510.07
47.30;16.0;536.89
47.30;16.5;563.71
47.30;17.0;590.54
47.30;17.5;617.36
47.30;18.0;644.18
47.30;18.5;671.00
47.30;19.0;697.83
47.30;19.5;724.65
47.30;20.0;751.47
47.30;20.5;778.30
47.30;21.0;805.12
47.30;21.5;831.94
47.30;22.0;858.77
47.30;22.5;885.59
47.30;23.0;912.41
47.30;23.5;939.23
56.76;0.0;0.16
56.76;0.25;2.74
56.76;0.5;5.88
56.76;0.75;9.37
56.76;1.0;13.13
56.76;1.5;21.31
56.76;2.0;30.23
56.76;2.5;39.79
56.76;3.0;49.99
56.76;3.5;60.81
56.76;4.0;72.30
56.76;4.5;84.55
56.76;5.0;97.65
56.76;5.5;111.69
56.76;6.0;126.78
56.76;6.5;143.05
56.76;7.0;160.59
56.76;7.5;179.44
56.76;8.0;199.62
56.76;8.5;221.06
56.76;9.0;243.63
56.76;9.5;267.18
56.76;10.0;291.53
56.76;10.5;316.52
56.76;11.0;342.03
56.76;11.5;367.93
56.76;12.0;394.15
56.76;12.5;420.60
56.76;13.0;447.23
56.76;13.5;473.97
56.76;14.0;500.77
56.76;14.5;527.59
56.76;15.0;554.41
56.76;15.5;581.24
56.76;16.0;608.06
56.76;16.5;634.88
56.76;17.0;661.71
56.76;17.5;688.53
56.76;18.0;715.35
56.76;18.5;742.18
56.76;19.0;769.00
56.76;19.5;795.82
56.76;20.0;822.64
56.76;20.5;849.47
56.76;21.0;876.29
56.76;21.5;903.11
56.76;22.0;929.94
56.76;22.5;956.76
56.76;23.0;983.58
56.76;23.5;1010.41
66.22;0.0;0.22
66.22;0.25;3.45
66.22;0.5;7.34
66.22;0.75;11.64
66.22;1.0;16.27
66.22;1.5;26.33
66.22;2.0;37.34
66.22;2.5;49.24
66.22;3.0;62.01
66.22;3.5;75.69
66.22;4.0;90.34
66.22;4.5;106.00
66.22;5.0;122.74
66.22;5.5;140.62
66.22;6.0;159.63
66.22;6.5;179.79
66.22;7.0;201.05
66.22;7.5;223.31
66.22;8.0;246.47
66.22;8.5;270.43
66.22;9.0;295.07
66.22;9.5;320.27
66.22;10.0;345.92
66.22;10.5;371.93
66.22;11.0;398.22
66.22;11.5;424.71
66.22;12.0;451.36
66.22;12.5;478.11
66.22;13.0;504.91
66.22;13.5;531.73
66.22;14.0;558.56
66.22;14.5;585.38
66.22;15.0;612.20
66.22;15.5;639.02
66.22;16.0;665.85
66.22;16.5;692.67
66.22;17.0;719.49
66.22;17.5;746.32
66.22;18.0;773.14
66.22;18.5;799.96
66.22;19.0;826.79
66.22;19.5;853.61
66.22;20.0;880.43
66.22;20.5;907.26
66.22;21.0;934.08
66.22;21.5;960.90
66.22;22.0;987.72
66.22;22.5;1014.55
66.22;23.0;1041.37
66.22;23.5;1068.19
75.68;0.0;0.29
75.68;0.25;4.28
75.68;0.5;8.99
75.68;0.75;14.17
75.68;1.0;19.74
75.68;1.5;31.87
75.68;2.0;45.18
75.68;2.5;59.62
75.68;3.0;75.18
75.68;3.5;91.86
75.68;4.0;109.65
75.68;4.5;128.56
75.68;5.0;148.55
75.68;5.5;169.59
75.68;6.0;191.61
75.68;6.5;214.50
75.68;7.0;238.15
75.68;7.5;262.47
75.68;8.0;287.36
75.68;8.5;312.73
75.68;9.0;338.49
75.68;9.5;364.58
75.68;10.0;390.93
75.68;10.5;417.47
75.68;11.0;444.14
75.68;11.5;470.90
75.68;12.0;497.70
75.68;12.5;524.53
75.68;13.0;551.35
75.68;13.5;578.17
75.68;14.0;605.00
75.68;14.5;631.82
75.68;15.0;658.64
75.68;15.5;685.46
75.68;16.0;712.29
75.68;16.5;739.11
75.68;17.0;765.93
75.68;17.5;792.76
75.68;18.0;819.58
75.68;18.5;846.40
75.68;19.0;873.23
75.68;19.5;900.05
75.68;20.0;926.87
75.68;20.5;953.69
75.68;21.0;980.52
75.68;21.5;1007.34
75.68;22.0;1034.16
75.68;22.5;1060.99
75.68;23.0;1087.81
75.68;23.5;1114.63
94.60;0.0;0.46
94.60;0.25;6.30
94.60;0.5;12.95
94.60;0.75;20.18
94.60;1.0;27.91
94.60;1.5;44.65
94.60;2.0;62.88
94.60;2.5;82.42
94.60;3.0;103.13
94.60;3.5;124.90
94.60;4.0;147.61
94.60;4.5;171.14
94.60;5.0;195.34
94.60;5.5;220.09
94.60;6.0;245.31
94.60;6.5;270.93
94.60;7.0;296.87
94.60;7.5;323.07
94.60;8.0;349.50
94.60;8.5;376.08
94.60;9.0;402.79
94.60;9.5;429.57
94.60;10.0;456.39
94.60;10.5;483.21
94.60;11.0;510.03
94.60;11.5;536.86
94.60;12.0;563.68
94.60;12.5;590.50
94.60;13.0;617.32
94.60;13.5;644.15
94.60;14.0;670.97
94.60;14.5;697.79
94.60;15.0;724.62
94.60;15.5;751.44
94.60;16.0;778.26
94.60;16.5;805.09
94.60;17.0;831.91
94.60;17.5;858.73
94.60;18.0;885.55
94.60;18.5;912.38
94.60;19.0;939.20
94.60;19.5;966.02
94.60;20.0;992.85
94.60;20.5;1019.67
94.60;21.0;1046.49
94.60;21.5;1073.32
94.60;22.0;1100.14
94.60;22.5;1126.96
94.60;23.0;1153.78
94.60;23.5;1180.61
113.52;0.0;0.67
113.52;0.25;8.91
113.52;0.5;17.95
113.52;0.75;27.52
113.52;1.0;37.53
113.52;1.5;58.63
113.52;2.0;80.91
113.52;2.5;104.14
113.52;3.0;128.13
113.52;3.5;152.76
113.52;4.0;177.92
113.52;4.5;203.50
113.52;5.0;229.45
113.52;5.5;255.68
113.52;6.0;282.13
113.52;6.5;308.75
113.52;7.0;335.49
113.52;7.5;362.30
113.52;8.0;389.12
113.52;8.5;415.94
113.52;9.0;442.76
113.52;9.5;469.59
113.52;10.0;496.41
113.52;10.5;523.23
113.52;11.0;550.06
113.52;11.5;576.88
113.52;12.0;603.70
113.52;12.5;630.53
113.52;13.0;657.35
113.52;13.5;684.17
113.52;14.0;710.99
113.52;14.5;737.82
113.52;15.0;764.64
113.52;15.5;791.46
113.52;16.0;818.29
113.52;16.5;845.11
113.52;17.0;871.93
113.52;17.5;898.76
113.52;18.0;925.58
113.52;18.5;952.40
113.52;19.0;979.22
113.52;19.5;1006.05
113.52;20.0;1032.87
113.52;20.5;1059.69
113.52;21.0;1086.52
113.52;21.5;1113.34
113.52;22.0;1140.16
113.52;22.5;1166.99
113.52;23.0;1193.81
113.52;23.5;1220.63
132.44;0.0;0.90
132.44;0.25;11.29
132.44;0.5;22.22
132.44;0.75;33.52
132.44;1.0;45.09
132.44;1.5;68.92
132.44;2.0;93.48
132.44;2.5;118.62
132.44;3.0;144.21
132.44;3.5;170.17
132.44;4.0;196.42
132.44;4.5;222.90
132.44;5.0;249.53
132.44;5.5;276.28
132.44;6.0;303.09
132.44;6.5;329.91
132.44;7.0;356.74
132.44;7.5;383.56
132.44;8.0;410.38
132.44;8.5;437.21
132.44;9.0;464.03
132.44;9.5;490.85
132.44;10.0;517.68
132.44;10.5;544.50
132.44;11.0;571.32
132.44;11.5;598.14
132.44;12.0;624.97
132.44;12.5;651.79
132.44;13.0;678.61
132.44;13.5;705.44
132.44;14.0;732.26
132.44;14.5;759.08
132.44;15.0;785.91
132.44;15.5;812.73
132.44;16.0;839.55
132.44;16.5;866.37
132.44;17.0;893.20
132.44;17.5;920.02
132.44;18.0;946.84
132.44;18.5;973.67
132.44;19.0;1000.49
132.44;19.5;1027.31
132.44;20.0;1054.14
132.44;20.5;1080.96
132.44;21.0;1107.78
132.44;21.5;1134.60
132.44;22.0;1161.43
132.44;22.5;1188.25
132.44;23.0;1215.07
132.44;23.5;1241.90
151.36;0.0;0.99
151.36;0.25;12.18
151.36;0.5;23.75
151.36;0.75;35.58
151.36;1.0;47.62
151.36;1.5;72.21
151.36;2.0;97.34
151.36;2.5;122.92
151.36;3.0;148.86
151.36;3.5;175.10
151.36;4.0;201.56
151.36;4.5;228.20
151.36;5.0;254.95
151.36;5.5;281.76
151.36;6.0;308.58
151.36;6.5;335.41
151.36;7.0;362.23
151.36;7.5;389.05
151.36;8.0;415.88
151.36;8.5;442.70
151.36;9.0;469.52
151.36;9.5;496.35
151.36;10.0;523.17
151.36;10.5;549.99
151.36;11.0;576.81
151.36;11.5;603.64
151.36;12.0;630.46
151.36;12.5;657.28
151.36;13.0;684.11
151.36;13.5;710.93
151.36;14.0;737.75
151.36;14.5;764.58
151.36;15.0;791.40
151.36;15.5;818.22
151.36;16.0;845.04
151.36;16.5;871.87
151.36;17.0;898.69
151.36;17.5;925.51
151.36;18.0;952.34
151.36;18.5;979.16
151.36;19.0;1005.98
151.36;19.5;1032.81
151.36;20.0;1059.63
151.36;20.5;1086.45
151.36;21.0;1113.27
151.36;21.5;1140.10
151.36;22.0;1166.92
151.36;22.5;1193.74
151.36;23.0;1220.57
151.36;23.5;1247.39
170.28;0.0;0.99
170.28;0.25;12.18
170.28;0.5;23.75
170.28;0.75;35.58
170.28;1.0;47.62
170.28;1.5;72.20
170.28;2.0;97.34
170.28;2.5;122.92
170.28;3.0;148.86
170.28;3.5;175.09
170.28;4.0;201.56
170.28;4.5;228.20
170.28;5.0;254.95
170.28;5.5;281.76
170.28;6.0;308.58
170.28;6.5;335.41
170.28;7.0;362.23
170.28;7.5;389.05
170.28;8.0;415.88
170.28;8.5;442.70
170.28;9.0;469.52
170.28;9.5;496.34
170.28;10.0;523.17
170.28;10.5;549.99
170.28;11.0;576.81
170.28;11.5;603.64
170.28;12.0;630.46
170.28;12.5;657.28
170.28;13.0;684.10
170.28;13.5;710.93
170.28;14.0;737.75
170.28;14.5;764.57
170.28;15.0;791.40
170.28;15.5;818.22
170.28;16.0;845.04
170.28;16.5;871.87
170.28;17.0;898.69
170.28;17.5;925.51
170.28;18.0;952.33
170.28;18.5;979.16
170.28;19.0;1005.98
170.28;19.5;1032.80
170.28;20.0;1059.63
170.28;20.5;1086.45
170.28;21.0;1113.27
170.28;21.5;1140.10
170.28;22.0;1166.92
170.28;22.5;1193.74
170.28;23.0;1220.56
170.28;23.5;1247.39
189.20;0.0;0.99
189.20;0.25;12.18
189.20;0.5;23.75
189.20;0.75;35.58
189.20;1.0;47.62
189.20;1.5;72.20
189.20;2.0;97.34
189.20;2.5;122.92
189.20;3.0;148.86
189.20;3.5;175.09
189.20;4.0;201.56
189.20;4.5;228.20
189.20;5.0;254.95
189.20;5.5;281.76
189.20;6.0;308.58
189.20;6.5;335.41
189.20;7.0;362.23
189.20;7.5;389.05
